"n","m","Power","Speed","Spotsize","Peclet","HannDensity","HannDensity100%","HannThreshold","Keyhole?","FabbroRatio","DThreshold","DThreshold100"
34,1,300,0.7000000000000001,160,1.3745454545454547,11.012996955475103,27.532492388687757,43.68337859418765,"False",0.25210955081529457,-32.67038163871255,-16.150886205499894
34,2,200,1.3000000000000003,100,1.5954545454545457,10.903641851981188,27.259104629952972,45.00218696510556,"False",0.2422913770932024,-34.09854511312437,-17.743082335152586
35,1,300,1.6,120,2.3563636363636364,11.215087150396194,28.037717875990484,49.247398022386534,"False",0.22772953700616064,-38.03231087199034,-21.20968014639605
35,2,250,1.1,120,1.6199999999999999,11.271586687575853,28.178966718939634,45.1463065197532,"False",0.24966796968527458,-33.87471983217735,-16.96733980081357
36,1,450,1.4000000000000001,160,2.7490909090909095,11.68104724260487,29.202618106512176,51.27372964220305,"False",0.22781738960901102,-39.59268239959818,-22.071111535690875
36,2,400,1.7000000000000002,140,2.920909090909091,11.51215784254621,28.780394606365526,52.12943809565215,"False",0.22083794230474132,-40.61728025310594,-23.349043489286622
37,1,350,0.8,160,1.5709090909090908,12.018667910950267,30.04666977737567,44.85757748039067,"False",0.2679294912036699,-32.8389095694404,-14.810907703014998
37,2,150,1.2000000000000002,80,1.1781818181818182,11.895396263464892,29.73849065866223,42.48079628964832,"False",0.2800182035750482,-30.585400026183425,-12.742305630986088
38,1,200,2.,80,1.9636363636363634,12.285512433316658,30.713781083291643,47.11264645410643,"False",0.26076888814310767,-34.82713402078977,-16.39886537081479
38,2,400,1.,160,1.9636363636363634,12.285512433316658,30.713781083291643,47.11264645410643,"False",0.26076888814310767,-34.82713402078977,-16.39886537081479
39,1,150,0.2,140,0.34363636363636363,12.586282234828689,31.46570558707172,37.89542942904113,"False",0.3321319331767014,-25.309147194212443,-6.429723841969409
39,2,150,1.1,80,1.0799999999999998,12.42433618924881,31.060840473122028,41.87114392493453,"False",0.2967278900123396,-29.446807735685717,-10.810303451812501
40,1,400,1.4000000000000001,140,2.4054545454545457,12.685780085419797,31.71445021354949,49.50635097692085,"False",0.2562455086082537,-36.82057089150105,-17.79190076337136
